,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,637619,2,BlockedShot,0.8469999694824218,0.6480000305175782,0.0537716448307037,Anthony Gordon,a,8150,OpenPlay,2025,RightFoot,28779,Aston Villa,Newcastle United,0,0,2025-08-16 11:30:00,,BallRecovery
1,637620,7,BlockedShot,0.8480000305175781,0.6170000076293946,0.0206153132021427,Anthony Gordon,a,8150,SetPiece,2025,RightFoot,28779,Aston Villa,Newcastle United,0,0,2025-08-16 11:30:00,,Aerial
2,637621,10,MissedShots,0.93,0.47,0.4054856300354004,Anthony Gordon,a,8150,OpenPlay,2025,Head,28779,Aston Villa,Newcastle United,0,0,2025-08-16 11:30:00,Harvey Barnes,Cross
3,637623,15,SavedShot,0.784000015258789,0.6129999923706054,0.023262882605195,Anthony Gordon,a,8150,SetPiece,2025,RightFoot,28779,Aston Villa,Newcastle United,0,0,2025-08-16 11:30:00,Harvey Barnes,Pass
4,637624,26,BlockedShot,0.8490000152587891,0.6509999847412109,0.0749164000153541,Anthony Gordon,a,8150,OpenPlay,2025,RightFoot,28779,Aston Villa,Newcastle United,0,0,2025-08-16 11:30:00,Harvey Barnes,Pass
5,637629,71,BlockedShot,0.6769999694824219,0.5929999923706055,0.0151972882449626,Anthony Gordon,a,8150,FromCorner,2025,RightFoot,28779,Aston Villa,Newcastle United,0,0,2025-08-16 11:30:00,Valentino Livramento,Pass
6,637634,90,SavedShot,0.685,0.5109999847412109,0.0105462726205587,Anthony Gordon,a,8150,OpenPlay,2025,RightFoot,28779,Aston Villa,Newcastle United,0,0,2025-08-16 11:30:00,Bruno Guimarães,TakeOn
0,637708,9,Goal,0.874000015258789,0.46,0.0744324624538421,Richarlison,h,6026,OpenPlay,2025,RightFoot,28782,Tottenham,Burnley,3,0,2025-08-16 14:00:00,Mohammed Kudus,Cross
1,637709,11,MissedShots,0.9259999847412108,0.5220000076293946,0.088717333972454,Richarlison,h,6026,OpenPlay,2025,Head,28782,Tottenham,Burnley,3,0,2025-08-16 14:00:00,Pedro Porro,Aerial
2,637722,51,BlockedShot,0.885,0.5879999923706055,0.0887629389762878,Richarlison,h,6026,OpenPlay,2025,RightFoot,28782,Tottenham,Burnley,3,0,2025-08-16 14:00:00,Brennan Johnson,Cross
3,637723,51,SavedShot,0.965,0.5770000076293945,0.4998835921287536,Richarlison,h,6026,OpenPlay,2025,LeftFoot,28782,Tottenham,Burnley,3,0,2025-08-16 14:00:00,,Rebound
4,637727,59,Goal,0.8859999847412109,0.5429999923706055,0.0935544967651367,Richarlison,h,6026,OpenPlay,2025,RightFoot,28782,Tottenham,Burnley,3,0,2025-08-16 14:00:00,Mohammed Kudus,Cross
0,637500,2,SavedShot,0.7619999694824219,0.6990000152587891,0.0146010080352425,Hugo Ekitike,h,8995,OpenPlay,2025,RightFoot,28778,Liverpool,Bournemouth,4,2,2025-08-15 19:00:00,Cody Gakpo,Pass
